latitude,longitude,timestamp,uncertainty,Datetime,Lat_X,Lon_Y,In_Out,Percentage_of_Intersection
59.12381794144145,14.608603395249052,1610723283,9.56898339738668,2021-01-15 16:08:03,3163799.9002994793,824615.467932866,OUT,14.35590221405278
59.12381803122005,14.608603465726276,1610723284,9.56898339738668,2021-01-15 16:08:04,3163799.890994022,824615.4696635208,OUT,14.368766237031998
59.12381803122036,14.608603465727162,1610723285,9.56898339738668,2021-01-15 16:08:05,3163799.8909939816,824615.4696635627,OUT,14.36876624590401
59.12381387952063,14.608602138195538,1610723286,12.046636364006579,2021-01-15 16:08:06,3163800.2935132156,824615.496292053,OUT,10.757064204415148
59.123813668295995,14.6086020840611,1610723287,12.046636364006579,2021-01-15 16:08:07,3163800.3137991107,824615.4983870806,OUT,10.746672677483003
59.12383777568887,14.608632059329928,1610723288,12.046636364006579,2021-01-15 16:08:08,3163797.6560484325,824616.5733073803,OUT,11.530237498977307
59.12383775698925,14.608632075378045,1610723289,12.046636364006579,2021-01-15 16:08:09,3163797.657544389,824616.5746436447,OUT,11.52914793634937
59.12387691263978,14.608688645671654,1610723291,13.51654831268048,2021-01-15 16:08:11,3163793.2273093187,824618.7558822864,OUT,9.344010353756536
59.12387691263649,14.608688645670496,1610723292,13.51654831268048,2021-01-15 16:08:12,3163793.2273096386,824618.7558823015,OUT,9.344010353756536
59.123890572265424,14.608692985563984,1610723293,15.165816645291569,2021-01-15 16:08:13,3163791.9033696037,824618.6667301449,OUT,7.422211249575674
59.12389346945336,14.608692422470929,1610723294,21.42228540633905,2021-01-15 16:08:14,3163791.6439158996,824618.565899979,OUT,3.7199175235843476
59.123893469454096,14.608692422470885,1610723295,21.42228540633905,2021-01-15 16:08:15,3163791.6439158316,824618.5658999588,OUT,3.7199175235843476
59.12384790231384,14.608419347936668,1610723341,13.51654831268048,2021-01-15 16:09:01,3163799.7822237248,824604.5839090225,OUT,9.344010353756536
59.12384790231384,14.608419347936668,1610723343,13.51654831268048,2021-01-15 16:09:03,3163799.7822237248,824604.5839090225,OUT,9.344010353756536
59.1238509324755,14.608565846167588,1610723344,10.145434884851094,2021-01-15 16:09:04,3163797.3939631223,824612.600414504,OUT,16.56376599059602
59.1238478398759,14.60855774307773,1610723346,8.75544870889933,2021-01-15 16:09:06,3163797.7961888267,824612.2274124883,OUT,20.84126403431133
59.12384703568421,14.608542737542898,1610723347,7.766214139169241,2021-01-15 16:09:07,3163798.0864191963,824611.4181836569,OUT,24.945587908537245
59.12390382237423,14.608513218730884,1610723144,3.025978242807802,2021-01-15 16:05:44,3163793.2669536206,824608.4213219737,IN,58.12808952582708
59.123867330448725,14.608541637168459,1610723146,3.025978242807802,2021-01-15 16:05:46,3163796.2280156007,824610.868920984,IN,77.42056489654411
59.12387500652117,14.608538327519504,1610723206,2.0257458685853784,2021-01-15 16:06:46,3163795.566756094,824610.5014011088,IN,95.0919879570418
59.12388151496446,14.608564987266805,1610723142,3.395203430746582,2021-01-15 16:05:42,3163794.582003321,824611.8168556831,IN,93.40973598588205
59.123868300216074,14.608540309504681,1610723238,2.142228540633905,2021-01-15 16:07:18,3163796.157564641,824610.7722665587,IN,88.46889653899156
59.12384178513013,14.608547821384848,1610723319,5.3810348044108745,2021-01-15 16:08:39,3163798.4981450685,824611.8252893052,OUT,34.222476247305
59.12390093919607,14.60865182572837,1610723228,13.51654831268048,2021-01-15 16:07:08,3163791.5383583377,824616.1444047692,OUT,9.344010353756536
59.12387741260795,14.608541086889506,1610723470,9.56898339738668,2021-01-15 16:11:10,3163795.3048383757,824610.5958545094,OUT,18.64375172959591
59.123937077246325,14.608523990744645,1610723471,10.736575960776957,2021-01-15 16:11:11,3163790.040800667,824608.2156826532,OUT,13.95351537897415
59.12386849567255,14.60853805197237,1610723473,2.142228540633905,2021-01-15 16:11:13,3163796.172004844,824610.6429039504,IN,86.20725902489168
59.12386849567255,14.60853805197237,1610723475,2.142228540633905,2021-01-15 16:11:15,3163796.172004844,824610.6429039504,IN,86.20725902489168
59.12386880689468,14.60853823179192,1610723476,3.208268208905757,2021-01-15 16:11:16,3163796.140675194,824610.6453421302,IN,74.77142511856503
59.123852126906215,14.608414774582656,1610723477,26.969059476747564,2021-01-15 16:11:17,3163799.4578984897,824604.2296878411,OUT,2.3471092823549937
59.12386849780722,14.6085393060448,1610723477,3.208268208905757,2021-01-15 16:11:17,3163796.1537588793,824610.712100767,IN,75.03231792231263
59.12386849780721,14.60853930604478,1610723478,3.208268208905757,2021-01-15 16:11:18,3163796.1537588825,824610.7121007667,IN,75.03231786901374
59.12385212685778,14.60841477461565,1610723478,26.969059476747564,2021-01-15 16:11:18,3163799.4579024874,824604.2296908286,OUT,2.3471092823549937
59.123819834860704,14.608469870637924,1610723479,26.969059476747564,2021-01-15 16:11:19,3163801.64715212,824608.0492968599,OUT,2.3471092823549937
59.123819701408756,14.608470348544632,1610723482,26.969059476747564,2021-01-15 16:11:22,3163801.6525984383,824608.0788984882,OUT,2.3471092823549937
59.12390380185587,14.60841660737193,1610723484,15.165816645291569,2021-01-15 16:11:24,3163794.6592874443,824603.087069791,OUT,7.422211249575674
59.12387175877584,14.608551154395707,1610723486,4.827671340794243,2021-01-15 16:11:26,3163795.6820817958,824611.2878581954,IN,58.52700873822245
59.12390668396871,14.608596097063089,1610723502,4.795852317561527,2021-01-15 16:11:42,3163791.8098834334,824612.9288675867,OUT,46.94325826001996
