hash_id,latitude,longitude,timestamp,uncertainty,Datetime,Lat_X,Lon_Y,In_Out,Percentage_of_Intersection
2,59.12390382237423,14.608513218730884,1610723144,3.025978242807802,2021-01-15 16:05:44,3163793.2669536206,824608.4213219737,IN,58.12808952582708
2,59.123867330448725,14.608541637168459,1610723146,3.025978242807802,2021-01-15 16:05:46,3163796.2280156007,824610.868920984,IN,77.42056489654411
2,59.12387500652117,14.608538327519504,1610723206,2.0257458685853784,2021-01-15 16:06:46,3163795.566756094,824610.5014011088,IN,95.0919879570418
2,59.12388151496446,14.608564987266805,1610723142,3.395203430746582,2021-01-15 16:05:42,3163794.582003321,824611.8168556831,IN,93.40973598588205
2,59.123868300216074,14.608540309504681,1610723238,2.142228540633905,2021-01-15 16:07:18,3163796.157564641,824610.7722665587,IN,88.46889653899156
2,59.12386849567255,14.60853805197237,1610723473,2.142228540633905,2021-01-15 16:11:13,3163796.172004844,824610.6429039504,IN,86.20725902489168
2,59.12386849567255,14.60853805197237,1610723475,2.142228540633905,2021-01-15 16:11:15,3163796.172004844,824610.6429039504,IN,86.20725902489168
2,59.12386880689468,14.60853823179192,1610723476,3.208268208905757,2021-01-15 16:11:16,3163796.140675194,824610.6453421302,IN,74.77142511856503
2,59.12386849780722,14.6085393060448,1610723477,3.208268208905757,2021-01-15 16:11:17,3163796.1537588793,824610.712100767,IN,75.03231792231263
2,59.12386849780721,14.60853930604478,1610723478,3.208268208905757,2021-01-15 16:11:18,3163796.1537588825,824610.7121007667,IN,75.03231786901374
2,59.12387175877584,14.608551154395707,1610723486,4.827671340794243,2021-01-15 16:11:26,3163795.6820817958,824611.2878581954,IN,58.52700873822245
2,59.123873824175355,14.608547833654525,1610723503,3.9109152801846654,2021-01-15 16:11:43,3163795.539132908,824611.0547764917,IN,76.22560105819394
2,59.12387383785837,14.608547695233751,1610723504,3.6501430599927063,2021-01-15 16:11:44,3163795.539861445,824611.0468037284,IN,79.87442165337319
2,59.123873838593205,14.608547798434806,1610723505,4.27430787717761,2021-01-15 16:11:45,3163795.5383082945,824611.0524846639,IN,70.02081493557341
1,59.12388674198245,14.608578042389347,1610723520,5.3810348044108745,2021-01-15 16:12:00,3163793.9113913863,824612.4119253459,IN,50.85951485717064
1,59.123886741984606,14.60857804238903,1610723521,5.3810348044108745,2021-01-15 16:12:01,3163793.911391191,824612.4119252764,IN,50.85951513001793
1,59.12388674197942,14.608578042390251,1610723522,5.3810348044108745,2021-01-15 16:12:02,3163793.9113916536,824612.4119254691,IN,50.85951441859839
1,59.123886802443714,14.608578053729033,1610723523,3.8094809054070033,2021-01-15 16:12:03,3163793.905644529,824612.4110961821,IN,74.99295415023593
1,59.123879377473536,14.608512003664153,1610723525,2.403619955923605,2021-01-15 16:12:05,3163795.5419514594,824608.9426232531,IN,65.08088435786054
2,59.12387415224064,14.608548314073666,1610723645,3.8094809054070033,2021-01-15 16:14:05,3163795.5019214926,824611.0734079472,IN,78.1852918577575
2,59.12387327244464,14.608548207846928,1610723647,5.291901181214355,2021-01-15 16:14:07,3163795.5847003176,824611.0887192326,IN,51.11656838343915
2,59.123873303210395,14.608548285519968,1610723648,4.923550629598581,2021-01-15 16:14:08,3163795.5807411866,824611.092267691,IN,57.11737326139746
2,59.12387768098651,14.608548423344569,1610723649,4.923550629598581,2021-01-15 16:14:09,3163795.174465827,824610.9945036483,IN,58.26794484222068
2,59.12387377674511,14.60854781352349,1610723650,3.8094809054070033,2021-01-15 16:14:10,3163795.543802866,824611.054806545,IN,77.54061675335187
2,59.12387219170969,14.608547653442708,1610723651,3.8094809054070033,2021-01-15 16:14:11,3163795.6924862927,824611.0841194283,IN,75.44211871460598
2,59.12387016910863,14.60853146333653,1610723598,2.0,2021-01-15 16:13:18,3163796.1122861905,824610.2388081864,IN,82.50568730262411
2,59.12387348300235,14.608534136086073,1610723599,3.025978242807802,2021-01-15 16:13:19,3163795.7677783133,824610.3066273836,IN,77.76849485954222
2,59.12387348300235,14.608534136086064,1610723601,3.025978242807802,2021-01-15 16:13:21,3163795.767778312,824610.3066273829,IN,77.76849486686193
2,59.123871754465036,14.608544444318035,1610723623,3.8094809054070033,2021-01-15 16:13:43,3163795.779052539,824610.917440511,IN,73.79449648562523
2,59.123871754465064,14.608544444318127,1610723624,3.8094809054070033,2021-01-15 16:13:44,3163795.779052536,824610.9174405157,IN,73.79449653778066
2,59.12386943988271,14.60854017539012,1610723625,3.8094809054070033,2021-01-15 16:13:45,3163796.054245554,824610.7374287936,IN,69.23832096891833
2,59.12387174957009,14.608544194929301,1610723626,2.696905947674757,2021-01-15 16:13:46,3163795.783093839,824610.9037874241,IN,88.33874415996193
2,59.123872471840066,14.608543782326816,1610723627,2.696905947674757,2021-01-15 16:13:47,3163795.722329771,824610.8636187973,IN,88.64559911354554
1,59.123875774385034,14.608509921933813,1610723465,3.395203430746582,2021-01-15 16:11:05,3163795.904660709,824608.9144002356,IN,51.68755327918303
1,59.12387577438504,14.608509921933816,1610723466,3.395203430746582,2021-01-15 16:11:06,3163795.904660708,824608.9144002354,IN,51.68755328546183
1,59.12387577438506,14.608509921933816,1610723467,3.395203430746582,2021-01-15 16:11:07,3163795.904660707,824608.9144002349,IN,51.68755328650655
2,59.1238699238727,14.608540713162446,1610723563,3.4856069124261837,2021-01-15 16:12:43,3163796.0018089097,824610.7554740661,IN,74.04670415733209
2,59.12386949424794,14.608540243581205,1610723564,4.27430787717761,2021-01-15 16:12:44,3163796.0482434556,824610.7398856252,IN,63.5322691224257
