,hash_id,latitude,longitude,timestamp,uncertainty,convert_time,percentage_of_intersect,IN_OUT
0,1,59.12381794144145,14.608603395249052,1610723283,9.56898339738668,2021-01-15 16:08:03,14.35590221405278,OUT
1,1,59.12381803122005,14.608603465726276,1610723284,9.56898339738668,2021-01-15 16:08:04,14.368766237031998,OUT
2,1,59.12381803122036,14.608603465727162,1610723285,9.56898339738668,2021-01-15 16:08:05,14.368766245904009,OUT
3,1,59.12381387952063,14.608602138195538,1610723286,12.046636364006579,2021-01-15 16:08:06,10.757064204415148,OUT
4,1,59.123813668295995,14.6086020840611,1610723287,12.046636364006579,2021-01-15 16:08:07,10.746672677483003,OUT
5,1,59.12383777568887,14.608632059329928,1610723288,12.046636364006579,2021-01-15 16:08:08,11.530237498977305,OUT
6,1,59.12383775698925,14.608632075378045,1610723289,12.046636364006579,2021-01-15 16:08:09,11.529147936349368,OUT
7,1,59.12387691263978,14.608688645671654,1610723291,13.51654831268048,2021-01-15 16:08:11,9.344010353756538,OUT
8,1,59.12387691263649,14.608688645670496,1610723292,13.51654831268048,2021-01-15 16:08:12,9.344010353756538,OUT
9,1,59.123890572265424,14.608692985563984,1610723293,15.165816645291569,2021-01-15 16:08:13,7.422211249575673,OUT
10,1,59.12389346945336,14.608692422470929,1610723294,21.42228540633905,2021-01-15 16:08:14,3.719917523584348,OUT
11,1,59.123893469454096,14.608692422470885,1610723295,21.42228540633905,2021-01-15 16:08:15,3.719917523584348,OUT
12,2,59.12384790231384,14.608419347936668,1610723341,13.51654831268048,2021-01-15 16:09:01,9.344010353756538,OUT
13,2,59.12384790231384,14.608419347936668,1610723343,13.51654831268048,2021-01-15 16:09:03,9.344010353756538,OUT
14,2,59.1238509324755,14.608565846167588,1610723344,10.145434884851094,2021-01-15 16:09:04,16.56376599059602,OUT
15,2,59.1238478398759,14.60855774307773,1610723346,8.75544870889933,2021-01-15 16:09:06,20.84126403431133,OUT
16,2,59.12384703568421,14.608542737542898,1610723347,7.766214139169241,2021-01-15 16:09:07,24.945587908537245,OUT
17,2,59.12390382237423,14.608513218730884,1610723144,3.025978242807802,2021-01-15 16:05:44,58.12808952582707,IN
18,2,59.123867330448725,14.608541637168459,1610723146,3.025978242807802,2021-01-15 16:05:46,77.42056489654411,IN
19,2,59.12387500652117,14.608538327519504,1610723206,2.0257458685853784,2021-01-15 16:06:46,95.0919879570418,IN
20,2,59.12388151496446,14.608564987266805,1610723142,3.395203430746582,2021-01-15 16:05:42,93.40973598588205,IN
21,2,59.123868300216074,14.608540309504681,1610723238,2.142228540633905,2021-01-15 16:07:18,88.46889653899157,IN
22,2,59.12384178513013,14.608547821384848,1610723319,5.3810348044108745,2021-01-15 16:08:39,34.222476247305,OUT
23,1,59.12390093919607,14.60865182572837,1610723228,13.51654831268048,2021-01-15 16:07:08,9.344010353756538,OUT
24,1,59.12387741260795,14.608541086889506,1610723470,9.56898339738668,2021-01-15 16:11:10,18.64375172959591,OUT
25,1,59.123937077246325,14.608523990744645,1610723471,10.736575960776957,2021-01-15 16:11:11,13.95351537897415,OUT
26,2,59.12386849567255,14.60853805197237,1610723473,2.142228540633905,2021-01-15 16:11:13,86.20725902489168,IN
27,2,59.12386849567255,14.60853805197237,1610723475,2.142228540633905,2021-01-15 16:11:15,86.20725902489168,IN
28,2,59.12386880689468,14.60853823179192,1610723476,3.208268208905757,2021-01-15 16:11:16,74.77142511856503,IN
29,1,59.123852126906215,14.608414774582656,1610723477,26.969059476747564,2021-01-15 16:11:17,2.3471092823549937,OUT
30,2,59.12386849780722,14.6085393060448,1610723477,3.208268208905757,2021-01-15 16:11:17,75.03231792231263,IN
31,2,59.12386849780721,14.60853930604478,1610723478,3.208268208905757,2021-01-15 16:11:18,75.03231786901374,IN
32,1,59.12385212685778,14.60841477461565,1610723478,26.969059476747564,2021-01-15 16:11:18,2.3471092823549937,OUT
33,1,59.123819834860704,14.608469870637924,1610723479,26.969059476747564,2021-01-15 16:11:19,2.3471092823549937,OUT
34,1,59.123819701408756,14.608470348544632,1610723482,26.969059476747564,2021-01-15 16:11:22,2.3471092823549937,OUT
35,1,59.12390380185587,14.60841660737193,1610723484,15.165816645291569,2021-01-15 16:11:24,7.422211249575673,OUT
36,2,59.12387175877584,14.608551154395707,1610723486,4.827671340794243,2021-01-15 16:11:26,58.527008738222456,IN
37,2,59.12390668396871,14.608596097063089,1610723502,4.795852317561527,2021-01-15 16:11:42,46.94325826001996,OUT
38,2,59.123873824175355,14.608547833654525,1610723503,3.9109152801846654,2021-01-15 16:11:43,76.22560105819394,IN
39,2,59.12387383785837,14.608547695233751,1610723504,3.6501430599927063,2021-01-15 16:11:44,79.87442165337319,IN
40,2,59.123873838593205,14.608547798434806,1610723505,4.27430787717761,2021-01-15 16:11:45,70.02081493557341,IN
41,1,59.123874026977575,14.608459246187387,1610723516,13.51654831268048,2021-01-15 16:11:56,9.344010353756538,OUT
42,1,59.123892464903314,14.608465066174288,1610723517,10.736575960776957,2021-01-15 16:11:57,14.512921195289788,OUT
43,1,59.123886308055546,14.608577958427725,1610723518,6.037620353790159,2021-01-15 16:11:58,42.54280583103323,OUT
44,1,59.12388674198245,14.608578042389347,1610723520,5.3810348044108745,2021-01-15 16:12:00,50.85951485717064,IN
45,1,59.123886741984606,14.60857804238903,1610723521,5.3810348044108745,2021-01-15 16:12:01,50.85951513001793,IN
46,1,59.12388674197942,14.608578042390251,1610723522,5.3810348044108745,2021-01-15 16:12:02,50.859514418598394,IN
